run,lr,weight_decay,batch_size,epochs,momentum,best_acc,final_acc,status
1,0.0035,0.0001,128,50,0.9,0.7020,0.7020,ok
2,0.004,0.0001,128,50,0.9,0.6991,0.6991,ok
3,0.0045,0.0001,128,50,0.9,0.6965,0.6924,ok
4,0.005,0.0001,128,50,0.9,0.7110,0.7089,ok
5,0.0055,0.0001,128,50,0.9,0.7122,0.7007,ok
6,0.006,0.0001,128,50,0.9,0.7134,0.7076,ok
7,0.0065,0.0001,128,50,0.9,0.7210,0.7140,ok
8,0.007,0.0001,128,50,0.9,0.7115,0.7037,ok
9,0.005,5e-05,128,50,0.9,0.7096,0.7080,ok
10,0.005,7.5e-05,128,50,0.9,0.7122,0.7122,ok
11,0.005,0.0001,128,50,0.9,0.7110,0.7089,ok
12,0.005,0.00015,128,50,0.9,0.7176,0.7127,ok
13,0.005,0.0002,128,50,0.9,0.7157,0.7049,ok
14,0.005,0.0003,128,50,0.9,0.7158,0.7026,ok
15,0.005,0.0001,128,50,0.88,0.7012,0.7012,ok
16,0.005,0.0001,128,50,0.89,0.7019,0.6955,ok
17,0.005,0.0001,128,50,0.9,0.7110,0.7089,ok
18,0.005,0.0001,128,50,0.91,0.7163,0.7015,ok
19,0.005,0.0001,128,50,0.92,0.7117,0.7070,ok
20,0.005,5e-05,128,60,0.9,0.7219,0.7121,ok
21,0.005,7.5e-05,128,60,0.9,0.7146,0.6995,ok
22,0.005,0.0001,128,60,0.9,0.7222,0.7137,ok
23,0.0045,5e-05,128,60,0.9,0.7103,0.6999,ok
24,0.0055,5e-05,128,60,0.9,0.7241,0.7241,ok
25,0.005,5e-05,128,60,0.91,0.7208,0.7208,ok
26,0.005,5e-05,128,60,0.89,0.7038,0.7013,ok
27,0.0042,0.00015,128,60,0.91,0.7030,0.6984,ok
28,0.0059,5e-05,128,60,0.9,0.7186,0.7139,ok
29,0.0048,0.00015,128,60,0.91,0.7221,0.7060,ok
30,0.0056,0.0001,128,60,0.9,0.7149,0.7128,ok
31,0.004,3e-05,128,50,0.89,0.7026,0.7026,ok
32,0.0042,3e-05,128,60,0.9,0.7033,0.6990,ok
